country,city,institution,lat.x,lon.x,city_country,lat.y,lon.y,lat,lon
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Amsterdam,Univ Amsterdam,52.3730796,4.8924534,"Amsterdam, Netherlands",52.3730796,4.8924534,52.3730796,4.8924534
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Belgium,Leuven,Univ Leuven,50.879202,4.7011675,"Leuven, Belgium",50.879202,4.7011675,50.879202,4.7011675
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
Netherlands,Nijmegen,Radboud Univ Nijmegen,51.8425749,5.8389606,"Nijmegen, Netherlands",51.8425749,5.8389606,51.8425749,5.8389606
